areaFIPS,areaname,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
1,Alabama,Race and ethnicity,4. Asian,0.01110981,0.121617019,0.0007454,0.008584372,0.014036125,0.013178643,0.007112023
1,Alabama,Race and ethnicity,3. African American,0.293432444,0.083713956,0.312054545,0.416024923,0.16092293,0.255512387,0.370692104
1,Alabama,Race and ethnicity,2. Hispanic,0.080069073,0.603994846,0.02885483,0.108595699,0.048326131,0.050203934,0.139303654
1,Alabama,Race and ethnicity,5. Native American,0.002604776,0.002045129,0.002713518,0.002604757,0.002647164,0.003083239,0.001680702
1,Alabama,Race and ethnicity,1. White,0.569251955,0.118003957,0.614680469,0.414847106,0.736613333,0.635710955,0.435284138
1,Alabama,Race and ethnicity,6. Other or multiracial,0.043531958,0.070625126,0.040951233,0.04934315,0.037454288,0.042310845,0.045927394
2,Alaska,Race and ethnicity,4. Asian,0.061333664,0.346153855,0.02916139,0.094087549,0.045850504,0.056685686,0.077080928
2,Alaska,Race and ethnicity,3. African American,0.024570789,0.039672926,0.023181371,0.028425241,0.022948669,0.031547178,0.00346287
2,Alaska,Race and ethnicity,2. Hispanic,0.097567804,0.251968503,0.080026731,0.144210726,0.074372426,0.095964611,0.102347054
2,Alaska,Race and ethnicity,5. Native American,0.170036077,0.016959418,0.181792602,0.272882313,0.115680031,0.107086748,0.354110569
2,Alaska,Race and ethnicity,1. White,0.495085835,0.238037556,0.5279302,0.333617598,0.576152146,0.556603014,0.310504049
2,Alaska,Race and ethnicity,6. Other or multiracial,0.151405826,0.107207753,0.157907695,0.126776576,0.164996251,0.152112797,0.15249455
4,Arizona,Race and ethnicity,4. Asian,0.028487179,0.092962913,0.004734759,0.01893683,0.039136566,0.036600307,0.011342227
4,Arizona,Race and ethnicity,3. African American,0.045756567,0.039204285,0.048202403,0.054165944,0.037465457,0.049082961,0.0386113
4,Arizona,Race and ethnicity,2. Hispanic,0.440094709,0.721841931,0.336273372,0.574306965,0.300432861,0.326737851,0.687203228
4,Arizona,Race and ethnicity,5. Native American,0.047942419,0.000909647,0.064349428,0.068278052,0.025123702,0.037401516,0.071407042
4,Arizona,Race and ethnicity,1. White,0.390353799,0.110872515,0.493541747,0.247996911,0.538594484,0.493831247,0.163438588
4,Arizona,Race and ethnicity,6. Other or multiracial,0.047365323,0.034208681,0.052898306,0.036315266,0.059246942,0.056346122,0.027997589
5,Arkansas,Race and ethnicity,4. Asian,0.016179226,0.12415792,0.002023892,0.018522326,0.013343733,0.014041035,0.020448565
