areaFIPS,areaname,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
1,Alabama,Citizenship,US citizen,0.996242106,0.965709984,0.999091148,0.995368063,0.997131228,0.996784627,0.995099425
1,Alabama,Citizenship,Non-US citizen,0.003757902,0.034290001,0.000908865,0.004631937,0.002868787,0.003215377,0.004900573
2,Alaska,Citizenship,US citizen,0.999626756,0.996365845,1,1,0.999437988,0.999751925,0.999230444
2,Alaska,Citizenship,Non-US citizen,0.000373227,0.003634161,0,0,0.000562008,0.000248077,0.000769527
4,Arizona,Citizenship,US citizen,0.99071902,0.970160604,0.998617887,0.989846826,0.991783023,0.992458165,0.987451971
4,Arizona,Citizenship,Non-US citizen,0.009280963,0.029839395,0.001382128,0.010153163,0.008216967,0.007541846,0.012548044
5,Arkansas,Citizenship,US citizen,0.995336354,0.962086797,0.999875426,0.994226575,0.997238517,0.996568978,0.993565857
5,Arkansas,Citizenship,Non-US citizen,0.004663636,0.037913207,0.000124547,0.005773398,0.002761499,0.003431028,0.006434135
6,California,Citizenship,US citizen,0.987791181,0.974882603,0.998789668,0.98712188,0.98860836,0.988633692,0.986298203
6,California,Citizenship,Non-US citizen,0.012208812,0.025117388,0.001210313,0.012878137,0.011391653,0.011366336,0.013701798
8,Colorado,Citizenship,US citizen,0.99232161,0.967579484,0.999311924,0.986961126,0.995480478,0.9929021,0.990671337
8,Colorado,Citizenship,Non-US citizen,0.007678399,0.032420501,0.00068807,0.013038883,0.004519539,0.007097911,0.00932864
9,Connecticut,Citizenship,US citizen,0.986001134,0.94878155,0.999047995,0.989067674,0.985667348,0.985236287,0.989060462
9,Connecticut,Citizenship,Non-US citizen,0.013998839,0.051218461,0.00095203,0.010932343,0.014332636,0.01476372,0.010939564
10,Delaware,Citizenship,US citizen,0.985851645,0.945259213,1,0.984925032,0.988985419,0.986096501,0.990688622
10,Delaware,Citizenship,Non-US citizen,0.014148327,0.054740816,0,0.015074961,0.011014551,0.013903499,0.009311348
11,District of Columbia,Citizenship,US citizen,0.977844357,0.922194302,0.997194469,0.98728621,0.974108219,0.975493431,0.983460367
11,District of Columbia,Citizenship,Non-US citizen,0.022155641,0.07780572,0.002805503,0.012713771,0.025891759,0.024506578,0.016539624
12,Florida,Citizenship,US citizen,0.98761934,0.966543615,0.998286963,0.987732589,0.987827063,0.988312542,0.986841619
12,Florida,Citizenship,Non-US citizen,0.012380644,0.033456374,0.00171304,0.012267408,0.012172956,0.011687455,0.013158351
13,Georgia,Citizenship,US citizen,0.992263436,0.96659869,0.999169588,0.993487418,0.991106451,0.992481709,0.991921663
13,Georgia,Citizenship,Non-US citizen,0.007736567,0.03340134,0.000830399,0.006512588,0.008893526,0.00751827,0.008078349
15,Hawaii,Citizenship,US citizen,0.995555699,0.990458548,0.998014212,0.996377647,0.99510777,0.996797323,0.992027402
15,Hawaii,Citizenship,Non-US citizen,0.004444282,0.00954146,0.001985786,0.003622328,0.00489221,0.003202658,0.007972575
16,Idaho,Citizenship,US citizen,0.995160103,0.976838171,0.998124957,0.995950937,0.994309604,0.994746208,0.996359169
