areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
10100,Aberdeen, SD,Parental nativity,Only immigrant parents,0.027783174,0,0,0,0,0.034581382,0
10100,Aberdeen, SD,Parental nativity,One immigrant and one native-born parent,0.015543034,0,0,0,0,0.015080631,0
10100,Aberdeen, SD,Parental nativity,Only native-born parents,0.956673801,0,1,0.953862131,0.965604305,0.950338006,0
10100,Aberdeen, SD,Parental nativity,At least one immigrant parent,0,0,0,0.046137869,0.034395695,0,0
10180,Abilene, TX,Parental nativity,Only immigrant parents,0.027667662,0,0,0.047424149,0.007690728,0.006273389,0.080087669
10180,Abilene, TX,Parental nativity,One immigrant and one native-born parent,0.018702406,0,0,0.026309298,0.011084546,0.018121395,0.020125996
10180,Abilene, TX,Parental nativity,Only native-born parents,0.953629911,0,1,0.926266551,0.981224716,0.97560519,0.899786353
10180,Abilene, TX,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10220,Ada, OK,Parental nativity,Only immigrant parents,0.032864511,0,0,0.045399979,0.017427206,0.016335979,0.060843486
10220,Ada, OK,Parental nativity,One immigrant and one native-born parent,0.02022334,0,0,0.025178988,0.014589819,0.020989163,0.018926978
10220,Ada, OK,Parental nativity,Only native-born parents,0.946912169,0,1,0.929421008,0.967982948,0.962674856,0.920229554
10220,Ada, OK,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10300,Adrian, MI,Parental nativity,Only immigrant parents,0.013767183,0,0,0,0,0,0
10300,Adrian, MI,Parental nativity,One immigrant and one native-born parent,0.01585315,0,0,0,0,0,0
10300,Adrian, MI,Parental nativity,Only native-born parents,0.970379651,0,1,0.964376569,0.975423753,0.970106959,0.970915854
10300,Adrian, MI,Parental nativity,At least one immigrant parent,0,0,0,0.035623431,0.024576247,0.029893041,0.029084146
10420,Akron, OH,Parental nativity,Only immigrant parents,0.050009426,0,0,0.068436958,0.035870295,0.044861764,0.063435376
10420,Akron, OH,Parental nativity,One immigrant and one native-born parent,0.030071644,0,0,0.017379101,0.040070564,0.029994784,0.030272109
10420,Akron, OH,Parental nativity,Only native-born parents,0.919918954,0,1,0.914183915,0.924059153,0.92514348,0.906292498
10420,Akron, OH,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10460,Alamogordo, NM,Parental nativity,Only immigrant parents,0.110733695,0,0,0.152076319,0.047846891,0.057860263,0
10460,Alamogordo, NM,Parental nativity,One immigrant and one native-born parent,0.098335594,0,0,0.056116723,0.164854288,0.135644108,0
10460,Alamogordo, NM,Parental nativity,Only native-born parents,0.790930688,0,1,0.791806936,0.787298799,0.806495607,0
10460,Alamogordo, NM,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10500,Albany, GA,Parental nativity,Only immigrant parents,0.049255978,0,0,0.062581904,0.023141703,0.017833494,0.128377512
10500,Albany, GA,Parental nativity,One immigrant and one native-born parent,0.014248111,0,0,0.016657861,0.009532988,0.006355767,0.034120962
10500,Albany, GA,Parental nativity,Only native-born parents,0.9364959,0,1,0.920760214,0.96732533,0.975810766,0.837501526
10500,Albany, GA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10540,Albany, OR,Parental nativity,Only immigrant parents,0.118589744,0,0,0.17337662,0.066174105,0.063079774,0
10540,Albany, OR,Parental nativity,One immigrant and one native-born parent,0.041826922,0,0,0.007142842,0.076774813,0.05380334,0
10540,Albany, OR,Parental nativity,Only native-born parents,0.839583337,0,1,0.819480538,0.857051075,0.883116901,0
10540,Albany, OR,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10580,Albany-Schenectady-Troy, NY,Parental nativity,Only immigrant parents,0.102039173,0.749636889,0,0.120100006,0.094867826,0.100558065,0.10741403
10580,Albany-Schenectady-Troy, NY,Parental nativity,One immigrant and one native-born parent,0.034078959,0.250363111,0,0.025878742,0.037106387,0.040887665,0.009370565
10580,Albany-Schenectady-Troy, NY,Parental nativity,Only native-born parents,0.863881886,0,1,0.854021251,0.86802578,0.858554244,0.883215427
10580,Albany-Schenectady-Troy, NY,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10660,Albert Lea, MN,Parental nativity,Only immigrant parents,0.13040629,0,0,0,0.043979812,0.049190346,0
10660,Albert Lea, MN,Parental nativity,One immigrant and one native-born parent,0.052206203,0,0,0,0.063446291,0.073021695,0
10660,Albert Lea, MN,Parental nativity,Only native-born parents,0.817387521,0,1,0,0.892573893,0.877787948,0
10660,Albert Lea, MN,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
10700,Albertville, AL,Parental nativity,Only immigrant parents,0.144748271,0,0,0.252644956,0,0.044244729,0.314285725
10700,Albertville, AL,Parental nativity,One immigrant and one native-born parent,0.062934026,0,0,0.077867121,0,0.048738334,0.086880468
10700,Albertville, AL,Parental nativity,Only native-born parents,0.792317688,0,1,0.669487953,0.918329477,0.907016933,0.598833799
10700,Albertville, AL,Parental nativity,At least one immigrant parent,0,0,0,0,0.081670523,0,0
