areaFIPS,areaname,areashort,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless,atleast1immigparent_pct,allnativebornparents_pct,lowincome_pct,notlowincome_pct,parpostsec_pct,pareducHSless_pct
1,Alabama,AL,171000,15000,153000,88000,81000,114000,57000,0.087520182,0.912479818,0.520885587,0.479114443,0.667586088,0.332413942
2,Alaska,AK,32000,3000,28000,11000,21000,24000,8000,0.104065537,0.895934463,0.330784202,0.669215798,0.756214261,0.243785754
4,Arizona,AZ,253000,67000,180000,127000,123000,172000,80000,0.271256685,0.728743315,0.508771539,0.491228431,0.683887005,0.316112965
5,Arkansas,AR,112000,13000,96000,63000,47000,73000,38000,0.116995811,0.883004189,0.571313679,0.428686321,0.654034734,0.345965296
6,California,CA,1458000,638000,796000,634000,807000,985000,467000,0.444697976,0.555302024,0.439867854,0.560132146,0.678368866,0.321631134
8,Colorado,CO,200000,43000,154000,73000,125000,153000,46000,0.220157444,0.779842556,0.367801964,0.632198036,0.767326534,0.232673466
9,Connecticut,CT,109000,28000,79000,34000,74000,84000,24000,0.260991931,0.739008069,0.315349281,0.684650719,0.775443792,0.224556193
10,Delaware,DE,32000,7000,25000,12000,20000,22000,10000,0.216347814,0.783652186,0.378879666,0.621120334,0.679564893,0.320435107
11,District of Columbia,DC,25000,6000,19000,9000,16000,18000,7000,0.255532801,0.744467199,0.353427708,0.646572292,0.724010646,0.275989354
12,Florida,FL,642000,204000,426000,322000,312000,437000,202000,0.324021399,0.675978601,0.50779891,0.49220106,0.683937073,0.316062927
13,Georgia,GA,385000,80000,296000,197000,185000,257000,127000,0.213435531,0.786564469,0.515367031,0.484632999,0.66987288,0.33012715
15,Hawaii,HI,55000,15000,38000,17000,37000,42000,13000,0.275700212,0.724299788,0.311609507,0.688390493,0.768027186,0.231972784
16,Idaho,ID,65000,9000,55000,32000,33000,49000,16000,0.141647816,0.858352184,0.498782039,0.501217961,0.75115937,0.248840645
17,Illinois,IL,459000,116000,336000,180000,274000,340000,117000,0.256124258,0.743875742,0.396399677,0.603600323,0.744375467,0.255624533
18,Indiana,IN,246000,27000,215000,117000,127000,170000,76000,0.112825453,0.887174547,0.478640497,0.521359503,0.691511869,0.30848816
19,Iowa,IA,115000,13000,101000,42000,73000,91000,24000,0.117878675,0.882121325,0.366567612,0.633432388,0.793092668,0.206907347
20,Kansas,KS,117000,17000,99000,49000,67000,90000,27000,0.145520508,0.854479492,0.421954513,0.578045487,0.765348077,0.234651923
21,Kentucky,KY,157000,14000,139000,77000,78000,108000,49000,0.090946436,0.909053564,0.498663068,0.501336932,0.689551353,0.310448676
22,Louisiana,LA,183000,14000,166000,93000,88000,113000,69000,0.079590738,0.920409262,0.514308751,0.485691249,0.619760573,0.380239427
23,Maine,ME,37000,0,34000,14000,22000,29000,7000,0,0.941072404,0.394824922,0.605175078,0.800605953,0.199394032
24,Maryland,MD,212000,63000,146000,63000,146000,159000,52000,0.300639927,0.699360073,0.300558269,0.699441731,0.751731336,0.248268679
